college_name,city,state,course_supported,fees
Pondicherry University,Bharat,Puducherry,hec,80000
Pondicherry University,Bharat,Puducherry,general,80000
Sikkim University,6th,Sikkim,mpc,80000
Sikkim University,6th,Sikkim,bipc,80000
Sikkim University,6th,Sikkim,cec,80000
Sikkim University,6th,Sikkim,hec,80000
Sikkim University,6th,Sikkim,general,80000
Tripura University,Suryamaninagar,Tripura,mpc,80000
Tripura University,Suryamaninagar,Tripura,bipc,80000
Tripura University,Suryamaninagar,Tripura,cec,80000
Tripura University,Suryamaninagar,Tripura,hec,80000
Tripura University,Suryamaninagar,Tripura,general,80000
Aligarh Muslim University,Aligarh,Uttar Pradesh,mpc,80000
Aligarh Muslim University,Aligarh,Uttar Pradesh,bipc,80000
Aligarh Muslim University,Aligarh,Uttar Pradesh,cec,80000
Aligarh Muslim University,Aligarh,Uttar Pradesh,hec,80000
Aligarh Muslim University,Aligarh,Uttar Pradesh,general,80000
Babasaheb Bhimrao Ambedkar University,Vidya,Uttar Pradesh,mpc,80000
Babasaheb Bhimrao Ambedkar University,Vidya,Uttar Pradesh,bipc,80000
Babasaheb Bhimrao Ambedkar University,Vidya,Uttar Pradesh,cec,80000
Babasaheb Bhimrao Ambedkar University,Vidya,Uttar Pradesh,hec,80000
Babasaheb Bhimrao Ambedkar University,Vidya,Uttar Pradesh,general,80000
Banaras Hindu University,Varanasi,Uttar Pradesh,mpc,80000
Banaras Hindu University,Varanasi,Uttar Pradesh,bipc,80000
Banaras Hindu University,Varanasi,Uttar Pradesh,cec,80000
Banaras Hindu University,Varanasi,Uttar Pradesh,hec,80000
Banaras Hindu University,Varanasi,Uttar Pradesh,general,80000
University of Allahabad,Allahabad,Uttar Pradesh,mpc,60000
University of Allahabad,Allahabad,Uttar Pradesh,bipc,60000
University of Allahabad,Allahabad,Uttar Pradesh,cec,60000
University of Allahabad,Allahabad,Uttar Pradesh,hec,60000
University of Allahabad,Allahabad,Uttar Pradesh,general,60000
Visva Bharati,Shantiniketan,West Bengal,mpc,80000
Visva Bharati,Shantiniketan,West Bengal,bipc,80000
Visva Bharati,Shantiniketan,West Bengal,cec,80000
Visva Bharati,Shantiniketan,West Bengal,hec,80000
Visva Bharati,Shantiniketan,West Bengal,general,80000
Hemwati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,mpc,80000
Hemwati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,bipc,80000
Hemwati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,cec,80000
Hemwati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,hec,80000
Hemwati Nandan Bahuguna Garhwal University,Srinagar,Uttarakhand,general,80000
Central university of Tamil Nadu,C/O.,Tamil Nadu,mpc,60000
Central university of Tamil Nadu,C/O.,Tamil Nadu,bipc,60000
Central university of Tamil Nadu,C/O.,Tamil Nadu,cec,60000
Central university of Tamil Nadu,C/O.,Tamil Nadu,hec,60000
Central university of Tamil Nadu,C/O.,Tamil Nadu,general,60000
Indian Maritime University,Chennai,Tamil Nadu,mpc,80000
Indian Maritime University,Chennai,Tamil Nadu,bipc,80000
Indian Maritime University,Chennai,Tamil Nadu,cec,80000
Indian Maritime University,Chennai,Tamil Nadu,hec,80000
Indian Maritime University,Chennai,Tamil Nadu,general,80000
Central University of Rajasthan,305817,Rajasthan,mpc,60000
Central University of Rajasthan,305817,Rajasthan,bipc,60000
Central University of Rajasthan,305817,Rajasthan,cec,60000
Central University of Rajasthan,305817,Rajasthan,hec,60000
Central University of Rajasthan,305817,Rajasthan,general,60000
Central University of Punjab,City,Punjab,mpc,60000
Central University of Punjab,City,Punjab,bipc,60000
Central University of Punjab,City,Punjab,cec,60000
Central University of Punjab,City,Punjab,hec,60000
Central University of Punjab,City,Punjab,general,60000
Central University of Orissa,Sabara,Orissa,mpc,60000
Central University of Orissa,Sabara,Orissa,bipc,60000
Central University of Orissa,Sabara,Orissa,cec,60000
Central University of Orissa,Sabara,Orissa,hec,60000
Central University of Orissa,Sabara,Orissa,general,60000
Dr. Harisingh Gour Vishwavidyalaya,Sagar,Madhya Pradesh,mpc,80000
Dr. Harisingh Gour Vishwavidyalaya,Sagar,Madhya Pradesh,bipc,80000
Dr. Harisingh Gour Vishwavidyalaya,Sagar,Madhya Pradesh,cec,80000
Dr. Harisingh Gour Vishwavidyalaya,Sagar,Madhya Pradesh,hec,80000
Dr. Harisingh Gour Vishwavidyalaya,Sagar,Madhya Pradesh,general,80000
Central University of Kerala,Tejaswini,Kerala,mpc,60000
Central University of Kerala,Tejaswini,Kerala,bipc,60000
Central University of Kerala,Tejaswini,Kerala,cec,60000
Central University of Kerala,Tejaswini,Kerala,hec,60000
Central University of Kerala,Tejaswini,Kerala,general,60000
Central University of Karnataka,2nd,Karnataka,mpc,60000
Central University of Karnataka,2nd,Karnataka,bipc,60000
Central University of Karnataka,2nd,Karnataka,cec,60000
Central University of Karnataka,2nd,Karnataka,hec,60000
Central University of Karnataka,2nd,Karnataka,general,60000
Central University of Jharkhand,Lohardaga,Jharkhand,mpc,60000
Central University of Jharkhand,Lohardaga,Jharkhand,bipc,60000
Central University of Jharkhand,Lohardaga,Jharkhand,cec,60000
Central University of Jharkhand,Lohardaga,Jharkhand,hec,60000
Central University of Jharkhand,Lohardaga,Jharkhand,general,60000
Central University of Kashmir,Transit,Jammu and Kashmir,mpc,60000
Central University of Kashmir,Transit,Jammu and Kashmir,bipc,60000
Central University of Kashmir,Transit,Jammu and Kashmir,cec,60000
Central University of Kashmir,Transit,Jammu and Kashmir,hec,60000
Central University of Kashmir,Transit,Jammu and Kashmir,general,60000
Central University of Jammu,Suchani,Jammu and Kashmir,mpc,60000
Central University of Jammu,Suchani,Jammu and Kashmir,bipc,60000
Central University of Jammu,Suchani,Jammu and Kashmir,cec,60000
Central University of Jammu,Suchani,Jammu and Kashmir,hec,60000
Central University of Jammu,Suchani,Jammu and Kashmir,general,60000
Central University of Himachal Pradesh,Kangra,Himachal Pradesh,mpc,60000
Central University of Himachal Pradesh,Kangra,Himachal Pradesh,bipc,60000
Central University of Himachal Pradesh,Kangra,Himachal Pradesh,cec,60000
Central University of Himachal Pradesh,Kangra,Himachal Pradesh,hec,60000
Central University of Himachal Pradesh,Kangra,Himachal Pradesh,general,60000
Central University of Haryana,Pali,Haryana,mpc,60000
Central University of Haryana,Pali,Haryana,bipc,60000
Central University of Haryana,Pali,Haryana,cec,60000
Central University of Haryana,Pali,Haryana,hec,60000
Central University of Haryana,Pali,Haryana,general,60000
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,mpc,80000
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,bipc,80000
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,cec,80000
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,hec,80000
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,general,80000
Central University of South Bihar,Phaneeshwarnath,Bihar,mpc,60000
Central University of South Bihar,Phaneeshwarnath,Bihar,bipc,60000
Central University of South Bihar,Phaneeshwarnath,Bihar,cec,60000
Central University of South Bihar,Phaneeshwarnath,Bihar,hec,60000
Central University of South Bihar,Phaneeshwarnath,Bihar,general,60000
Central University of Gujarat,2,Gujarat,mpc,60000
Central University of Gujarat,2,Gujarat,bipc,60000
Central University of Gujarat,2,Gujarat,cec,60000
Central University of Gujarat,2,Gujarat,hec,60000
Central University of Gujarat,2,Gujarat,general,60000
Gandhi Institute of Technology and Management (GITAM),Gandhi,Andhra Pradesh,mpc,80000
Gandhi Institute of Technology and Management (GITAM),Gandhi,Andhra Pradesh,bipc,80000
Gandhi Institute of Technology and Management (GITAM),Gandhi,Andhra Pradesh,cec,80000
Gandhi Institute of Technology and Management (GITAM),Gandhi,Andhra Pradesh,hec,80000
Gandhi Institute of Technology and Management (GITAM),Gandhi,Andhra Pradesh,general,80000
International  Institute of Information Technology,500,Telangana,mpc,80000
International  Institute of Information Technology,500,Telangana,bipc,80000
International  Institute of Information Technology,500,Telangana,cec,80000
International  Institute of Information Technology,500,Telangana,hec,80000
International  Institute of Information Technology,500,Telangana,general,80000
Koneru Lakshmaiah Education Foundation,Vaddeswaram,Andhra Pradesh,mpc,80000
Koneru Lakshmaiah Education Foundation,Vaddeswaram,Andhra Pradesh,bipc,80000
Koneru Lakshmaiah Education Foundation,Vaddeswaram,Andhra Pradesh,cec,80000
Koneru Lakshmaiah Education Foundation,Vaddeswaram,Andhra Pradesh,hec,80000
Koneru Lakshmaiah Education Foundation,Vaddeswaram,Andhra Pradesh,general,80000
Rashtriya Sanskrit Vidyapeeth,517,Andhra Pradesh,mpc,80000
Rashtriya Sanskrit Vidyapeeth,517,Andhra Pradesh,bipc,80000
Rashtriya Sanskrit Vidyapeeth,517,Andhra Pradesh,cec,80000
Rashtriya Sanskrit Vidyapeeth,517,Andhra Pradesh,hec,80000
Rashtriya Sanskrit Vidyapeeth,517,Andhra Pradesh,general,80000
Sri Sathya Sai Institute of Higher Learning,515134,Andhra Pradesh,mpc,80000
Sri Sathya Sai Institute of Higher Learning,515134,Andhra Pradesh,bipc,80000
Sri Sathya Sai Institute of Higher Learning,515134,Andhra Pradesh,cec,80000
Sri Sathya Sai Institute of Higher Learning,515134,Andhra Pradesh,hec,80000
Sri Sathya Sai Institute of Higher Learning,515134,Andhra Pradesh,general,80000
ICFAI Foundation for Higher Education,Donthanpalli,Andhra Pradesh,mpc,80000
ICFAI Foundation for Higher Education,Donthanpalli,Andhra Pradesh,bipc,80000
ICFAI Foundation for Higher Education,Donthanpalli,Andhra Pradesh,cec,80000
ICFAI Foundation for Higher Education,Donthanpalli,Andhra Pradesh,hec,80000
ICFAI Foundation for Higher Education,Donthanpalli,Andhra Pradesh,general,80000
Vignan's Foundation for Science   Technology and Research,Vadlamudi,Andhra Pradesh,mpc,80000
Vignan's Foundation for Science   Technology and Research,Vadlamudi,Andhra Pradesh,bipc,80000
Vignan's Foundation for Science   Technology and Research,Vadlamudi,Andhra Pradesh,cec,80000
Vignan's Foundation for Science   Technology and Research,Vadlamudi,Andhra Pradesh,hec,80000
Vignan's Foundation for Science   Technology and Research,Vadlamudi,Andhra Pradesh,general,80000
North Eastern Regional Institute of Science & Technology,Nirjuli,Arunachal Pradesh,mpc,80000
North Eastern Regional Institute of Science & Technology,Nirjuli,Arunachal Pradesh,bipc,80000
North Eastern Regional Institute of Science & Technology,Nirjuli,Arunachal Pradesh,cec,80000
North Eastern Regional Institute of Science & Technology,Nirjuli,Arunachal Pradesh,hec,80000
North Eastern Regional Institute of Science & Technology,Nirjuli,Arunachal Pradesh,general,80000
Nava Nalanda Mahavihara,803,Bihar,mpc,80000
Nava Nalanda Mahavihara,803,Bihar,bipc,80000
Nava Nalanda Mahavihara,803,Bihar,cec,80000
Nava Nalanda Mahavihara,803,Bihar,hec,80000
Nava Nalanda Mahavihara,803,Bihar,general,80000
Punjab Engineering College,,Chandigarh,mpc,80000
Punjab Engineering College,,Chandigarh,bipc,80000
Punjab Engineering College,,Chandigarh,cec,80000
Punjab Engineering College,,Chandigarh,hec,80000
Punjab Engineering College,,Chandigarh,general,80000
Indian Agricultural Research Institute,Pusa,Delhi,mpc,80000
Indian Agricultural Research Institute,Pusa,Delhi,bipc,80000
Indian Agricultural Research Institute,Pusa,Delhi,cec,80000
Indian Agricultural Research Institute,Pusa,Delhi,hec,80000
Indian Agricultural Research Institute,Pusa,Delhi,general,80000
Indain Institute of Foreigen Trade,Institutional,Delhi,mpc,80000
Indain Institute of Foreigen Trade,Institutional,Delhi,bipc,80000
Indain Institute of Foreigen Trade,Institutional,Delhi,cec,80000
Indain Institute of Foreigen Trade,Institutional,Delhi,hec,80000
Indain Institute of Foreigen Trade,Institutional,Delhi,general,80000
Indian Law Institute,Bhagwan,Delhi,mpc,80000
Indian Law Institute,Bhagwan,Delhi,bipc,80000
Indian Law Institute,Bhagwan,Delhi,cec,80000
Indian Law Institute,Bhagwan,Delhi,hec,80000
Indian Law Institute,Bhagwan,Delhi,general,80000
Institute of liver and Biliary Sciences,I,Delhi,mpc,80000
Institute of liver and Biliary Sciences,I,Delhi,bipc,80000
Institute of liver and Biliary Sciences,I,Delhi,cec,80000
Institute of liver and Biliary Sciences,I,Delhi,hec,80000
Institute of liver and Biliary Sciences,I,Delhi,general,80000
Jamia Hamdard,Hamdard,Delhi,mpc,80000
Jamia Hamdard,Hamdard,Delhi,bipc,80000
Jamia Hamdard,Hamdard,Delhi,cec,80000
Jamia Hamdard,Hamdard,Delhi,hec,80000
Jamia Hamdard,Hamdard,Delhi,general,80000
National Museum Institute of History of Arts  Conservation and Musicology,National,Delhi,mpc,80000
National Museum Institute of History of Arts  Conservation and Musicology,National,Delhi,bipc,80000
National Museum Institute of History of Arts  Conservation and Musicology,National,Delhi,cec,80000
National Museum Institute of History of Arts  Conservation and Musicology,National,Delhi,hec,80000
National Museum Institute of History of Arts  Conservation and Musicology,National,Delhi,general,80000
National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),IV,Haryana,mpc,80000
National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),IV,Haryana,bipc,80000
National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),IV,Haryana,cec,80000
National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),IV,Haryana,hec,80000
National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),IV,Haryana,general,80000
National University of Educational Planning & Administration,New,Delhi,mpc,60000
National University of Educational Planning & Administration,New,Delhi,bipc,60000
National University of Educational Planning & Administration,New,Delhi,cec,60000
National University of Educational Planning & Administration,New,Delhi,hec,60000
National University of Educational Planning & Administration,New,Delhi,general,60000
Rashtriya Sanskrit Sansthana,Janakpuri,Delhi,mpc,80000
Rashtriya Sanskrit Sansthana,Janakpuri,Delhi,bipc,80000
Rashtriya Sanskrit Sansthana,Janakpuri,Delhi,cec,80000
Rashtriya Sanskrit Sansthana,Janakpuri,Delhi,hec,80000
Rashtriya Sanskrit Sansthana,Janakpuri,Delhi,general,80000
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,qutub,Delhi,mpc,80000
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,qutub,Delhi,bipc,80000
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,qutub,Delhi,cec,80000
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,qutub,Delhi,hec,80000
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,qutub,Delhi,general,80000
TERI School of Advanced studies,Lodhi,Delhi,mpc,80000
TERI School of Advanced studies,Lodhi,Delhi,bipc,80000
TERI School of Advanced studies,Lodhi,Delhi,cec,80000
TERI School of Advanced studies,Lodhi,Delhi,hec,80000
TERI School of Advanced studies,Lodhi,Delhi,general,80000
Gujarat Vidyapith,380,Gujarat,mpc,80000
Gujarat Vidyapith,380,Gujarat,bipc,80000
Gujarat Vidyapith,380,Gujarat,cec,80000
Gujarat Vidyapith,380,Gujarat,hec,80000
Gujarat Vidyapith,380,Gujarat,general,80000
Sumandeep Vidyapeeth,Pipariya,Gujarat,mpc,80000
Sumandeep Vidyapeeth,Pipariya,Gujarat,bipc,80000
Sumandeep Vidyapeeth,Pipariya,Gujarat,cec,80000
Sumandeep Vidyapeeth,Pipariya,Gujarat,hec,80000
Sumandeep Vidyapeeth,Pipariya,Gujarat,general,80000
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,mpc,80000
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,bipc,80000
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,cec,80000
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,hec,80000
Maharishi Markandeshwar (Deemed to be University),Ambala,Haryana,general,80000
Lingaya's Vidyapeeth,121002,Haryana,mpc,80000
Lingaya's Vidyapeeth,121002,Haryana,bipc,80000
Lingaya's Vidyapeeth,121002,Haryana,cec,80000
Lingaya's Vidyapeeth,121002,Haryana,hec,80000
Lingaya's Vidyapeeth,121002,Haryana,general,80000
National Brain Research Centre,122001,Haryana,mpc,80000
National Brain Research Centre,122001,Haryana,bipc,80000
National Brain Research Centre,122001,Haryana,cec,80000
National Brain Research Centre,122001,Haryana,hec,80000
National Brain Research Centre,122001,Haryana,general,80000
National Dairy Research Institute,132,Haryana,mpc,80000
National Dairy Research Institute,132,Haryana,bipc,80000
National Dairy Research Institute,132,Haryana,cec,80000
National Dairy Research Institute,132,Haryana,hec,80000
National Dairy Research Institute,132,Haryana,general,80000
Manav Rachna International Institute of Research and Studies,121001,Haryana,mpc,80000
Manav Rachna International Institute of Research and Studies,121001,Haryana,bipc,80000
Manav Rachna International Institute of Research and Studies,121001,Haryana,cec,80000
Manav Rachna International Institute of Research and Studies,121001,Haryana,hec,80000
Manav Rachna International Institute of Research and Studies,121001,Haryana,general,80000
Birla Institute of Technology,835,Jharkhand,mpc,80000
Birla Institute of Technology,835,Jharkhand,bipc,80000
Birla Institute of Technology,835,Jharkhand,cec,80000
Birla Institute of Technology,835,Jharkhand,hec,80000
Birla Institute of Technology,835,Jharkhand,general,80000
B.L.D.E.,Bijapur,Karnataka,mpc,80000
B.L.D.E.,Bijapur,Karnataka,bipc,80000
B.L.D.E.,Bijapur,Karnataka,cec,80000
B.L.D.E.,Bijapur,Karnataka,hec,80000
B.L.D.E.,Bijapur,Karnataka,general,80000
Christ,560029,Karnataka,mpc,80000
Christ,560029,Karnataka,bipc,80000
Christ,560029,Karnataka,cec,80000
Christ,560029,Karnataka,hec,80000
Christ,560029,Karnataka,general,80000
Indian Institute of Science,560,Karnataka,mpc,80000
Indian Institute of Science,560,Karnataka,bipc,80000
Indian Institute of Science,560,Karnataka,cec,80000
Indian Institute of Science,560,Karnataka,hec,80000
Indian Institute of Science,560,Karnataka,general,80000
International Institute of Information Technology,B),Karnataka,mpc,80000
International Institute of Information Technology,B),Karnataka,bipc,80000
International Institute of Information Technology,B),Karnataka,cec,80000
International Institute of Information Technology,B),Karnataka,hec,80000
International Institute of Information Technology,B),Karnataka,general,80000
Jain,91/2,Karnataka,mpc,80000
Jain,91/2,Karnataka,bipc,80000
Jain,91/2,Karnataka,cec,80000
Jain,91/2,Karnataka,hec,80000
Jain,91/2,Karnataka,general,80000
JSS Academy of Higher Education & Research,JSS,Karnataka,mpc,80000
JSS Academy of Higher Education & Research,JSS,Karnataka,bipc,80000
JSS Academy of Higher Education & Research,JSS,Karnataka,cec,80000
JSS Academy of Higher Education & Research,JSS,Karnataka,hec,80000
JSS Academy of Higher Education & Research,JSS,Karnataka,general,80000
Jawahar lal Nehru Centre for Advanced Scientific Research,560064,Karnataka,mpc,80000
Jawahar lal Nehru Centre for Advanced Scientific Research,560064,Karnataka,bipc,80000
Jawahar lal Nehru Centre for Advanced Scientific Research,560064,Karnataka,cec,80000
Jawahar lal Nehru Centre for Advanced Scientific Research,560064,Karnataka,hec,80000
Jawahar lal Nehru Centre for Advanced Scientific Research,560064,Karnataka,general,80000
K.L.E. Academy of Higher Education and Research,590010,Karnataka,mpc,80000
K.L.E. Academy of Higher Education and Research,590010,Karnataka,bipc,80000
K.L.E. Academy of Higher Education and Research,590010,Karnataka,cec,80000
K.L.E. Academy of Higher Education and Research,590010,Karnataka,hec,80000
K.L.E. Academy of Higher Education and Research,590010,Karnataka,general,80000
Manipal Academy of Higher Education,576119.,Karnataka,mpc,80000
Manipal Academy of Higher Education,576119.,Karnataka,bipc,80000
Manipal Academy of Higher Education,576119.,Karnataka,cec,80000
Manipal Academy of Higher Education,576119.,Karnataka,hec,80000
Manipal Academy of Higher Education,576119.,Karnataka,general,80000
National Institute of Mental Health & Neuro Sciences,560,Karnataka,mpc,80000
National Institute of Mental Health & Neuro Sciences,560,Karnataka,bipc,80000
National Institute of Mental Health & Neuro Sciences,560,Karnataka,cec,80000
National Institute of Mental Health & Neuro Sciences,560,Karnataka,hec,80000
National Institute of Mental Health & Neuro Sciences,560,Karnataka,general,80000
NITTE,575018,Karnataka,mpc,200000
NITTE,575018,Karnataka,bipc,200000
NITTE,575018,Karnataka,cec,200000
NITTE,575018,Karnataka,hec,200000
NITTE,575018,Karnataka,general,200000
Sri Devraj Urs Academy of Higher Education and Research,563101,Karnataka,mpc,80000
Sri Devraj Urs Academy of Higher Education and Research,563101,Karnataka,bipc,80000
Sri Devraj Urs Academy of Higher Education and Research,563101,Karnataka,cec,80000
Sri Devraj Urs Academy of Higher Education and Research,563101,Karnataka,hec,80000
Sri Devraj Urs Academy of Higher Education and Research,563101,Karnataka,general,80000
Sri Siddhartha Academy of Higher Education,572107,Karnataka,mpc,80000
Sri Siddhartha Academy of Higher Education,572107,Karnataka,bipc,80000
Sri Siddhartha Academy of Higher Education,572107,Karnataka,cec,80000
Sri Siddhartha Academy of Higher Education,572107,Karnataka,hec,80000
Sri Siddhartha Academy of Higher Education,572107,Karnataka,general,80000
Swami Vivekananda Yoga Anusandhana Samsthana,560018,Karnataka,mpc,80000
Swami Vivekananda Yoga Anusandhana Samsthana,560018,Karnataka,bipc,80000
Swami Vivekananda Yoga Anusandhana Samsthana,560018,Karnataka,cec,80000
Swami Vivekananda Yoga Anusandhana Samsthana,560018,Karnataka,hec,80000
Swami Vivekananda Yoga Anusandhana Samsthana,560018,Karnataka,general,80000
Yenepoya,Mangalore,Karnataka,mpc,80000
Yenepoya,Mangalore,Karnataka,bipc,80000
Yenepoya,Mangalore,Karnataka,cec,80000
Yenepoya,Mangalore,Karnataka,hec,80000
Yenepoya,Mangalore,Karnataka,general,80000
Kerala Kalamandalam,Thrissur,Kerala,mpc,80000
Kerala Kalamandalam,Thrissur,Kerala,bipc,80000
Kerala Kalamandalam,Thrissur,Kerala,cec,80000
Kerala Kalamandalam,Thrissur,Kerala,hec,80000
Kerala Kalamandalam,Thrissur,Kerala,general,80000
Indian Institute of Space Science and Technology,Valiamala,Kerala,mpc,80000
Indian Institute of Space Science and Technology,Valiamala,Kerala,bipc,80000
Indian Institute of Space Science and Technology,Valiamala,Kerala,cec,80000
Indian Institute of Space Science and Technology,Valiamala,Kerala,hec,80000
Indian Institute of Space Science and Technology,Valiamala,Kerala,general,80000
Indian Institute of Information Technology and Management,474004,Madhya Pradesh,mpc,80000
Indian Institute of Information Technology and Management,474004,Madhya Pradesh,bipc,80000
Indian Institute of Information Technology and Management,474004,Madhya Pradesh,cec,80000
Indian Institute of Information Technology and Management,474004,Madhya Pradesh,hec,80000
Indian Institute of Information Technology and Management,474004,Madhya Pradesh,general,80000
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Technologhy,Madhya Pradesh,mpc,80000
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Technologhy,Madhya Pradesh,bipc,80000
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Technologhy,Madhya Pradesh,cec,80000
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Technologhy,Madhya Pradesh,hec,80000
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Technologhy,Madhya Pradesh,general,80000
